,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order Code,Order Date,Customer Name ,Address,City,State,Customer Type,Medical Sales Reprensentative,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Shipping Date,Cost_Price,Retal_Price,Profit_Margin3,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Sub-Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5071-1,5/5/2019,Sidhi Jain,"234 Elmwood Avenue, Apartment 3A, Building B",Mumbai,Maharashtra,Corporate,Aarav Patel,Medium,Wheelchairs  ,Pharmaceuticals,Small pack,Regular Air,5/23/2019,1.87,$2.23,0.36,41,$76.67,6%,$4.60,$72.07,$2.83,$74.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5071-2,5/5/2019,Anjali Sharma,"521 Oak Ridge Drive, Flat 7, Building D",Kolkata,Kolkata,Corporate,Aarav Patel,Medium,Hospital beds  ,Pharmaceuticals,Medium pack,Regular Air,6/9/2019,3.47,$6.68,3.21,2,$6.94,1%,$0.07,$6.87,$1.50,$8.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5145-1,6/29/2019,Rajesh Verma,"142 Maple Grove Lane, Suite 203, Building E",Delhi,Delhi,Small Business,Priya Reddy,Low,Oxygen concentrators  ,Medical equipment,Large Pack,Express Air,8/12/2019,3.32,$5.18,1.86,1,$3.32,2%,$0.07,$3.25,$2.04,$5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5145-2,6/29/2019,Priya Nair,"876 Pine Hollow Road, Apartment 5B, Building C",Mumbai,Maharashtra,Small Business,Priya Reddy,Low,Defibrillators  ,Consumables,Jumbo Pack,Regular Air,8/19/2019,2.98,$5.84,2.86,4,$11.92,9%,$1.07,$10.85,$0.83,$11.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5160-1,7/5/2019,Arun Kumar,"305 Willow Creek Boulevard, Unit 12, Building A",Kolkata,Kolkata,Corporate,Vikram Sharma,Not Specified,Electrocardiogram (ECG) machines  ,Medical equipment,Large Pack,Regular Air,8/5/2019,8.82,$20.99,12.17,41,$361.62,2%,$7.23,$354.39,$4.81,$359.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5160-2,7/5/2019,Neha Gupta,"908 Birchwood Park, Flat 4, Building F",Delhi,Delhi,Corporate,Vikram Sharma,Not Specified,Patient monitors  ,Consumables,Small pack,Express Air,8/2/2019,3.4,$5.40,2,26,$88.40,5%,$4.42,$83.98,$7.78,$91.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5168-1,7/15/2019,Rohit Singh,"114 Rosewood Terrace, Suite 308, Building B",Kolkata,Kolkata,Consumer,Neha Gupta,Critical,Infusion pumps  ,Pharmaceuticals,Medium pack,Regular Air,9/8/2019,3.88,$6.47,2.59,20,$77.60,2%,$1.55,$76.05,$1.22,$77.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5168-2,7/15/2019,Meera Iyer,"799 Cedar Bluff Parkway, Unit 21, Building D",Delhi,Delhi,Consumer,Neha Gupta,Critical,Surgical lights  ,Consumables,Large Pack,Regular Air,7/24/2019,1.31,$2.84,1.53,39,$51.09,7%,$3.58,$47.51,$0.93,$48.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5195-1,7/31/2019,Sunil Choudhary,"456 Cherry Hill Road, Apartment 8A, Building E",Mumbai,Maharashtra,Consumer,Rohit Singh,Medium,Ventilators  ,Pharmaceuticals,Jumbo Pack,Regular Air,8/6/2019,1.84,$2.88,1.04,11,$20.24,9%,$1.82,$18.42,$1.49,$19.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5195-2,7/31/2019,Kavita Patel,"315 Fernbrook Crescent, Flat 10, Building C",Mumbai,Maharashtra,Consumer,Rohit Singh,Medium,Ultrasound machines  ,Medical equipment,Small pack,Regular Air,9/15/2019,6.39,$19.98,13.59,43,$274.77,10%,$27.48,$247.29,$4.00,$251.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
